number,shell length(mm),shell width(mm),seeds length(mm),seeds width(mm)
1,17.3,12.6,14.3,12.5
2,18.3,12.3,13.2,11
3,17.9,10.75,12,7.5
4,17,11.2,13.1,9.15
5,17.5,12.5,15,9.7
6,17.5,10.9,15,8.6
7,16,11.6,14.2,7.8
8,17,11.2,14.1,7.2
9,17,11.2,13,11
10,18,12.3,15,8.8
11,16.6,10.3,15,9
12,17.45,12,14.8,9.2
13,16.2,11.4,14.3,8.2
14,15.5,11,11.8,9.2
15,16.1,12.3,12.3,8.3
16,17.6,11.8,14.2,11.4
17,16.5,10.9,14.5,9.2
18,18,11.5,16,10
19,18.8,12.2,16.6,11
20,18.5,11.8,16.2,9
21,17,12.1,15,9.4
22,16.1,11.6,15.1,9.5
23,18,,16,9.8
24,17.3,11.85,15.6,9.7
25,17.85,12.45,14.5,9.5
26,18,12,14.4,10
27,18,13,15,10
28,17,12,,9
29,17.8,12,15.4,9
30,17.2,11.6,15.2,11
31,13,8,10,6.2
32,13.2,9,9.8,7.1
33,11.8,7.5,8.4,6.4
34,10.9,8.4,7.3,6.8
35,12.6,9.2,8.6,7.1
36,12,7.8,9.1,6.2
37,11.7,8,7.2,6
38,13.2,8.5,10,6.4
39,12.8,8.4,8.7,6.3
40,10.9,7,7.6,5.1
41,11,9,7.4,6.8
42,10.7,8.2,6.8,6.2
43,9,7.9,6.4,6
44,,8,7,5.4
45,10.2,8.4,7,6
46,11,7.8,8.1,7
47,13,,9.4,7
48,10,9,8,6.2
49,12,8,7.8,6
50,11.8,7.4,8.5,5.4
51,10.7,7,8,5.2
52,11.3,6.5,7.6,4
53,10,7,7.2,5.2
54,13.7,8,9.7,6.2
55,20,10,15,8
56,14,9,11,5
57,12,8,,5
58,15,16.2,11,13.1
59,18,15.2,13,12.2
60,19,13.2,13,10.3
61,15,12.5,10,8
62,17,13.2,11,10.1
63,16,13.7,13,9
64,16,14.5,10,9
65,13,9,8,6
66,18,14.3,14,8
67,19,14.2,14,10
68,17,14,10,8
69,17,10,9,8
70,16,10,8,7
71,15,10,12,7
72,17,11,14,6
73,18,10,12,8
74,16,8,13,7
75,18,12,14,10
76,15,9,14,7
77,16,13.9,8,11
78,13,11.1,12,8
79,14.8,9.1,13.5,8
80,14.5,9,13.5,8
81,13,8,12.5,7
82,13.5,10,13,9.5
83,14,9,13,8
84,15.5,9,14,8
85,14,8.9,13.5,8
86,14,9,12,7
87,15,8,13.5,7
88,15,9,14,8
89,13.9,12,12,11
90,13.9,8.5,12.5,8
91,15.5,12,14.5,10
92,18,13,17,10
93,17,12,15.5,10.5
94,16.5,11.5,16,9.5
95,17.5,11,17,10
96,18,12,15.5,9
97,18.5,13,15,10
98,17.5,11.5,16,11
99,17,11,15,9
100,16,12,14,9
